Country,Cumulative_cases,Cumulative_deaths,Population,CumulativeCases_Ratio
Panama,119666,2482,"4,314,767",0.027734058
Papua New Guinea,554,7,"8,947,024",6.19E-05
Paraguay,48978,1065,"7,132,538",0.00686684
Peru,846088,33223,"32,971,854",0.025660917
Philippines,339341,6321,"109,581,078",0.003096712
Poland,125816,3004,"37,846,611",0.003324366
Portugal,86664,2080,"10,196,709",0.008499213
Puerto Rico,53671,730,"2,860,853",0.018760489
Qatar,127985,220,"2,881,053",0.044422994
Romania,155283,5411,"19,237,691",0.008071811
Russia,1312310,22722,"145,934,462",0.008992461
Rwanda,4896,31,"12,952,218",0.000378005
S.Sudan,2787,55,"895,312",0.003112881
Saint Barthélemy,65,0,"9,877",0.006580946
Saint Helena,0,0,"6,077",0
Saint Kitts and Nevis,19,0,"53,199",0.00035715
Saint Lucia,29,0,"183,627",0.000157929
Saint Martin,466,8,"38,666",0.012051932
Saint Pierre and Miquelon,16,0,"5,794",0.002761477
Saint Vincent and the Grenadines,64,0,"198,414",0.000322558
Samoa,0,0,"33,931",0
San Marino,766,42,"219,159",0.003495179
Sao Tome and Principe,929,15,"34,813,871",2.67E-05
Saudi Arabia,339267,5043,"16,743,927",0.020262093
Senegal,15213,313,"8,737,371",0.001741142
Serbia,34787,763,"98,347",0.353716941
Seychelles,147,0,"7,976,983",1.84E-05
Singapore,57876,27,"5,850,342",0.009892755
Sint Maarten,699,22,"42,876",0.016302827
Slovakia,19851,61,"5,459,642",0.003635953
Slovenia,8665,142,"2,078,938",0.004167993
Solomon Is.,2,0,"686,884",2.91E-06
Somalia,3864,99,"15,893,222",0.000243123
South Africa,692471,17780,"59,308,690",0.011675709
South Korea,24703,433,"51,269,185",0.000481829
Spain,861112,32929,"46,754,778",0.018417626
Sri Lanka,4752,13,"21,413,249",0.000221919
Sudan,13685,836,"43,849,260",0.000312092
Suriname,5035,107,"586,632",0.008582894
Sweden,98451,5894,"10,099,265",0.009748333
Switzerland,60230,1793,"8,654,622",0.006959287
Syria,4718,224,"17,500,658",0.00026959
Tajikistan,10222,79,"9,537,645",0.001071753
Tanzania,509,21,"59,734,218",8.52E-06
Thailand,3641,59,"69,799,978",5.22E-05
Timor-Leste,28,0,"1,318,445",2.12E-05
Togo,1940,49,"8,278,724",0.000234336
Tokelau,0,0,"1,357",0
Tonga,0,0,"105,695",0
Trinidad and Tobago,5043,90,"1,399,488",0.003603461
Tunisia,32556,478,"11,818,619",0.002754637
Turkey,335533,8837,"84,339,067",0.003978382
Turkmenistan,0,0,"6,031,200",0
Turks and Caicos Islands,696,6,"38,717",0.017976599
Tuvalu,0,0,"11,792",0
Uganda,9801,93,"45,741,007",0.000214272
Ukraine,265454,5015,"43,733,762",0.006069773
United Arab Emirates,106229,445,"9,890,402",0.010740615
United Kingdom,603720,42825,"67,886,011",0.008893143
United States of America,7636803,212804,"331,002,651",0.023071728
United States Virgin Islands,1327,20,"3,473,730",0.00038201
Uruguay,2268,50,"33,469,203",6.78E-05
Uzbekistan,61205,507,"307,145",0.199270703
Vanuatu,0,0,"28,435,940",0
Venezuela,82453,691,"97,338,579",0.000847074
Vietnam,1109,35,"11,239",0.098674259
Wallis and Futuna,0,0,"597,339",0
Yemen,2056,596,"29,825,964",6.89E-05
Zambia,15458,336,"18,383,955",0.000840842
Zimbabwe,8011,230,"14,862,924",0.000538992
